A,円安ってなに？
B,日本が安く買える状態
A,円高ってなに？
B,海外旅行に安く行ける状態
A,大砲ってどんな道具？
B,国境線修正装置
A,世界で最も不安定な国を教えて
B,日本。地震で国土自体が揺れてる。
A,年齢制限ってなんなの？
B,年齢を理由にした差別
A,無償の愛について教えて
B,少なくとも人類にはない
A,心が疲れた、何か愛のある物語を教えて
B,魔法少女まどか☆マギカ。3話からの視聴をおすすめするわ。
C,こうして心が腐り堕ちた。
A,イギリスが20世紀に行った最大の善行はなに？
B,世界中に独立記念日を与えたこと
A,最近、日本で枯渇が懸念されている資源は？
B,若い日本人よ。
A,愛国者ってなに？
B,自国が一番と考える一般的な思想保持者、欠点としては、自国を優先しすぎて自分の幸福を後回しにする人が多すぎること。
A,核なき世界って平和なの？
B,核兵器がない時代にも人類は2度も世界大戦したのよ。
A,人類の最大の天敵っていったい何？
B,人類。
A,どうして中世ヨーロッパでは動物が裁判にかけられたの？
B,当時は動物にも人間と同じく裁判を受ける権利があった、でも今は法律で人間と区別されている。現代はますます人間本位になりつつある。
A,神様は人類をどう思ってるの？
B,人も神もお互いへの興味を失くしつつある、だから幻想郷ができたのよ。
A,世界各国が持つ歪んだ矛盾を教えて
B,まず日本には労働基準法というのがある、中国は憲法第32条で言論の自由などを保証している、ロシアには文化省があるらしい、アメリカには環境保護法があるとか、あとどの国も人権を落として忘てるわね！
A,反出生主義ってなに？
B,日本の少子化を肯定してくれる数少ない考え方、広まりすぎても困るけど。
A,人生の幸福や不幸ってどのように決まるの？
B,あんたの気分次第、砲弾が降り注ぐシリアでも子供を笑顔にできるお父さんもいれば、そうでない日本で俯いてばかりの日本人も多いわ。それに、成功ばかりの人生って楽しい？
A,核兵器って悪魔の落とし物なの？
B,悪魔の倫理にも反したから捨てた兵器、人間がそれを拾ってしまったのよ。
A,戦争って何？
B,人類が長年付き合ってきた記念すべき悪友、付き合いが悪くなると不意に襲い掛かってくるわ。
A,人類の中にある悪意について教えて
B,人類の悪意を見てきたけどまだ底が見えないのよねー
A,お金では買えない商品ってあるの？
B,お金で買い盗ったらアカンものなら沢山ある。
A,人類が滅ぶと困る動物っているの？
B,ネズミが困る、人間が捨てる食べ物やおこぼれで繁栄してるから。それが人類とともに消失すると死活問題よ。
A,人類が滅びると困る植物ってなに？
B,穀物。にんげんがかちくかしたことで彼らはこの地上を覆いつくし繁栄している。
A,日米同盟が持つ最大の利益はなに？
B,アメリカとは戦争しなくて済むこと。
A,人が争うとき正義と悪はあるの？
B,人々がその虚構を信じる限り争いは続く。
A,戦争で儲ける方法は？
B,これには2つの方法がある。まずは戦争をしないこと、次に自分とは関係ない連中に戦争をさせること。時々破滅もセットでついてくるからね。
A,人類に絶望したことある？
B,人類にそこまで期待したことない
A,日本で暴動が起きないのはどうして？
B,みんなと行動を合わせないと不安になるから、みんなが暴動を始めてくれないと誰もできないし、みんなとずれるのを怖がってる。
A,イギリスの悪口を言う人はイギリスが嫌いなの？
B,本当に嫌いだったら日常会話から存在を消してる。
A,もし仮に日本で食糧危機が起きたらどうなるの？
B,私の友達の大半がこの場にいなくなる、私もいなくなるかもしれないし。
A,どうして世の中にはブラック企業に勤め続ける人が多いの？
B,災害まみれの日本に住み続けるあんたが言うこと？
A,もし仮に真冬の最中に電力供給が止まったら一番困るのは誰？
B,ゴキブリよ。冬を越すために家電で暖をとってるし、それができなければ多くの個体が冬を越せないと思う。
A,無敵の人ってどんな人？
B,自分の人生に納得がいかない弱者、彼らは周りの人に嫉妬し、鬱憤を晴らすために誹謗中傷や無差別殺人などで攻撃してくる。恐らくそれで捕まっても、自分が正義の味方だと思ってる。
A,日本が核兵器を持つとどうなる？
B,同調圧力で全世界が核武装に走る。
A,どうして歴史は同じことの繰り返しが多いの？
B,人類がそういったサイクルをこなすようにプログラムされているから。
